time,underlying,option,time_to_maturity,implied_vol,delta,mid_price
0,10503.0,505.5,7000000,9.489712117345076e-06,0.9754192683818941,505.5
100,10510.0,515.5,6999900,1.1078781862161358e-05,0.9565214754697204,515.5
200,10513.0,516.5,6999800,1.0240249300594029e-05,0.9685623488087478,516.5
300,10517.5,521.5,6999700,1.0554398646201718e-05,0.9656862930564863,521.5
400,10509.5,512.5,6999600,9.924800344109375e-06,0.9716548307775932,512.5
500,10506.0,510.5,6999500,1.058813613659382e-05,0.9621436879582905,510.5
600,10503.5,506.5,6999400,9.830304379471798e-06,0.9714031376491788,506.5
700,10503.0,507.5,6999300,1.053846315310699e-05,0.9619804083868971,507.5
800,10497.5,500.5,6999200,9.735405426776924e-06,0.9711490371468656,500.5
900,10495.5,498.5,6999100,9.703707071627302e-06,0.971063776392122,498.5
1000,10499.0,503.5,6999000,1.0472176659874098e-05,0.9617601640229759,503.5
1100,10501.0,504.5,6998900,1.0048348466206692e-05,0.9680043299580199,504.5
1200,10504.5,507.5,6998800,9.846526225913696e-06,0.9714452636841819,507.5
1300,10510.0,514.5,6998700,1.0655096009825435e-05,0.9623589367693716,514.5
1400,10510.0,514.0,6998600,1.0433038814333985e-05,0.965316312034517,514.0
1500,10504.5,507.5,6998500,9.846736759698728e-06,0.9714452699835903,507.5
1600,10504.5,507.5,6998400,9.846806940466943e-06,0.971445272085519,507.5
1700,10499.0,502.5,6998300,1.0016551305221222e-05,0.9679099010544298,502.5
1800,10497.5,501.5,6998200,1.0227420886996771e-05,0.9647004361557935,501.5
1900,10493.5,496.5,6998100,9.672587541663762e-06,0.9709782141689113,496.5
2000,10493.0,496.5,6998000,9.91985492705521e-06,0.967624035813206,496.5
2100,10488.5,491.5,6997900,9.593005195465236e-06,0.9707629801335621,491.5
2200,10485.5,489.5,6997800,1.0029397033757329e-05,0.9640821511598603,489.5
2300,10491.5,494.5,6997700,9.641007422624098e-06,0.9708923499405087,494.5
2400,10486.0,489.5,6997600,9.80591861551131e-06,0.9672953332237915,489.5
2500,10480.5,483.5,6997500,9.465187770890872e-06,0.9704142672402355,483.5
2600,10475.0,479.5,6997400,1.007248762181489e-05,0.9603719613108938,479.5
2700,10464.5,469.5,6997300,1.0079373461351763e-05,0.9569405777109805,469.5
2800,10472.5,477.5,6997200,1.0258375399536693e-05,0.9568211697076359,477.5
2900,10473.0,476.5,6997100,9.592076243068956e-06,0.9666825172442237,476.5
3000,10478.5,482.5,6997000,9.914052919009263e-06,0.9637075711463349,482.5
3100,10473.5,478.5,6996900,1.0274636845501622e-05,0.9569016213808056,478.5
3200,10479.0,483.5,6996800,1.0139940667530876e-05,0.9606117742382795,483.5
3300,10479.5,482.5,6996700,9.449674670026786e-06,0.9703702339928653,482.5
3400,10480.0,483.5,6996600,9.70773979838561e-06,0.9670176970160023,483.5
3500,10489.0,492.5,6996500,9.856118545482077e-06,0.9674312291621471,492.5
3600,10484.0,487.5,6996400,9.773802512102616e-06,0.9672036626582384,487.5
3700,10483.0,486.5,6996300,9.757390970738445e-06,0.967157522333796,486.5
3800,10483.5,486.5,6996200,9.514185006139717e-06,0.9705456466306696,486.5
3900,10482.0,487.5,6996100,1.0571916305074833e-05,0.9551935068567773,487.5
4000,10475.5,479.5,6996000,9.865034372575163e-06,0.9635436530387775,479.5
4100,10472.5,475.5,6995900,9.337552957320234e-06,0.97005936419488,475.5
4200,10466.5,470.5,6995800,9.715823238674158e-06,0.9630393124152088,470.5
4300,10464.5,470.5,6995700,1.0468641828999164e-05,0.9508971814431556,470.5
4400,10458.5,463.5,6995600,9.983100782027894e-06,0.956461023779787,463.5
4500,10458.0,461.5,6995500,9.346273713082505e-06,0.9659192619588551,461.5
4600,10451.5,456.5,6995400,9.868530585143815e-06,0.9558980655623874,456.5
4700,10457.5,462.5,6995300,9.966992178512481e-06,0.9563808098722123,462.5
4800,10464.0,467.5,6995200,9.445208397053839e-06,0.9662320512287906,467.5
4900,10464.5,468.5,6995100,9.683086107573786e-06,0.962924559510947,468.5
5000,10462.5,467.5,6995000,1.0048578392947802e-05,0.9567815887495931,467.5
5100,10453.0,456.5,6994900,9.264416744562516e-06,0.9656506918374099,456.5
5200,10455.0,460.5,6994800,1.0122288908391835e-05,0.9530767559239535,460.5
5300,10451.0,455.5,6994700,9.651428650483064e-06,0.959152249235523,455.5
5400,10450.0,454.5,6994600,9.635676557114712e-06,0.9590699364978138,454.5
5500,10441.0,446.5,6994500,9.883374646716943e-06,0.9519519180673496,446.5
5600,10445.5,451.5,6994400,1.0169154335092056e-05,0.9488805417991499,451.5
5700,10444.0,449.5,6994300,9.935159906841653e-06,0.9521931981879128,449.5
5800,10439.5,445.0,6994200,9.857673647734526e-06,0.951831378429298,445.0
5900,10431.5,438.5,6994100,1.0215480510176141e-05,0.9426249223061144,438.5
6000,10445.0,450.5,6994000,9.952535090706806e-06,0.952273667757501,450.5
6100,10440.5,444.5,6993900,9.263929919478575e-06,0.9617844294503747,444.5
6200,10447.0,452.5,6993800,9.986929196985447e-06,0.952434562832882,452.5
6300,10440.5,446.5,6993700,1.0059449939267827e-05,0.9488398738250261,446.5
6400,10442.5,447.0,6993600,9.51666412745657e-06,0.9584551225272491,447.0
6500,10443.5,448.5,6993500,9.737189765797753e-06,0.9552547221939096,448.5
6600,10440.0,446.5,6993400,1.021208521283237e-05,0.9460769993705144,446.5
6700,10426.0,432.5,6993300,9.957192917191146e-06,0.9449205981779194,432.5
6800,10432.5,437.5,6993200,9.551831423566742e-06,0.9543773039825478,437.5
6900,10433.0,438.5,6993100,9.746384784569273e-06,0.9512940790460757,438.5
7000,10431.5,437.5,6993000,9.893065213352308e-06,0.948222448145602,437.5
7100,10435.0,440.5,6992900,9.763278646434703e-06,0.951759322239558,440.5
7200,10438.5,445.5,6992800,1.0345414469112273e-05,0.9432200208066862,445.5
7300,10437.0,444.5,6992700,1.0471252736683785e-05,0.9404459391524542,444.5
7400,10438.5,443.5,6992600,9.653944020623905e-06,0.954854292292128,443.5
7500,10441.5,445.5,6992500,9.280119080701968e-06,0.9618698247208679,445.5
7600,10441.5,446.5,6992400,9.704490718823734e-06,0.955094427810719,446.5
7700,10436.0,440.5,6992300,9.412169196318025e-06,0.957928625454222,440.5
7800,10440.5,446.5,6992200,1.0060205216085013e-05,0.9488453045766682,446.5
7900,10447.5,453.5,6992100,1.0219843929525558e-05,0.9488150341751579,453.5
8000,10442.5,449.5,6992000,1.04191777696538e-05,0.9435598484492546,449.5
8100,10447.5,452.5,6991900,9.804837663758139e-06,0.9555767427805939,452.5
8200,10451.0,455.5,6991800,9.65335609269812e-06,0.9591534006011935,455.5
8300,10440.5,445.5,6991700,9.68819660320767e-06,0.9550144122527011,445.5
8400,10444.5,448.5,6991600,9.376350638616239e-06,0.9613495239119855,448.5
8500,10447.0,452.5,6991500,9.988556762329011e-06,0.9524348073444072,452.5
8600,10441.0,446.5,6991400,9.885553071946554e-06,0.9519521247453997,446.5
8700,10436.5,440.5,6991300,9.203859616372014e-06,0.9614498981596553,440.5
8800,10432.5,438.5,6991200,9.912270462944754e-06,0.94830299105389,438.5
8900,10431.0,436.5,6991100,9.730634848588704e-06,0.9508300891620467,436.5
9000,10432.0,438.5,6991000,1.0068824103324726e-05,0.9454142520737727,438.5
9100,10423.5,429.5,6990900,9.74998158721812e-06,0.9475821896073312,429.5
9200,10424.5,431.5,6990800,1.0087706426461781e-05,0.9420290634076576,431.5
9300,10422.5,428.5,6990700,9.731894987231424e-06,0.9475029597087717,428.5
9400,10425.5,430.5,6990600,9.433992733063776e-06,0.953817322399079,430.5
9500,10425.5,431.5,6990500,9.786617064544954e-06,0.9477410729175058,431.5
9600,10431.5,437.5,6990400,9.894920476003804e-06,0.9482221799008372,437.5
9700,10426.0,432.5,6990300,9.95936656826971e-06,0.9449199439858897,432.5
9800,10428.0,433.5,6990200,9.656257848934001e-06,0.9509696669189812,433.5
9900,10427.0,431.5,6990100,9.264890041830542e-06,0.9572157354051001,431.5
10000,10419.5,427.0,6990000,1.0144210205442958e-05,0.9389030225107716,427.0
10100,10425.0,429.5,6989900,9.231483169808466e-06,0.9570606004901745,429.5
